ダウンロードした時刻：2024/10/31 17:50:51

,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋
年月日,平均気温(℃),平均気温(℃),平均気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,品質情報,均質番号,,品質情報,均質番号
2024/9/30,25.2,8,1,曇後時々晴,8,1
2024/10/1,26.2,8,1,晴,8,1
2024/10/2,26.3,8,1,晴後時々曇,8,1
2024/10/3,24.3,8,1,雨時々曇,8,1
2024/10/4,23.6,8,1,雨時々曇,8,1
2024/10/5,23.4,8,1,曇後時々晴,8,1
2024/10/6,24.2,8,1,曇時々晴一時雨,8,1
2024/10/7,24.1,8,1,曇時々雨、雷を伴う,8,1
2024/10/8,21.4,8,1,曇後時々雨,8,1
2024/10/9,19.6,8,1,雨後曇時々晴,8,1
2024/10/10,20.7,8,1,晴一時曇,8,1
2024/10/11,20.2,8,1,晴一時曇,8,1
2024/10/12,21.1,8,1,晴,8,1
2024/10/13,21.9,8,1,晴,8,1
2024/10/14,21.9,8,1,晴,8,1
2024/10/15,21.4,8,1,曇一時雨,8,1
2024/10/16,22.9,8,1,曇一時雨,8,1
2024/10/17,24.2,8,1,晴後一時曇,8,1
2024/10/18,24.3,8,1,曇後時々雨,8,1
2024/10/19,23.3,8,1,雨時々曇、雷を伴う,8,1
2024/10/20,18.9,8,1,晴後曇,8,1
2024/10/21,18.5,8,1,晴一時曇,8,1
2024/10/22,19.7,8,1,曇時々晴一時雨,8,1
2024/10/23,22.5,8,1,雨時々曇、雷を伴う,8,1
2024/10/24,20.9,8,1,曇時々晴一時雨,8,1
2024/10/25,21.0,8,1,曇時々晴,8,1
2024/10/26,20.3,8,1,曇,8,1
2024/10/27,20.7,8,1,曇一時晴後一時雨,8,1
2024/10/28,19.9,8,1,曇時々雨一時晴,8,1
2024/10/29,17.0,8,1,雨時々曇,8,1
2024/10/30,18.6,8,1,晴一時雨後曇,8,1
